행정구역(시군구)별,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
전국,444421.0,424529.0,448516.0,451579.0,464374,421465,419833,424563,393674,345786,317685,295132,265087,253946
서울특별시,88051.0,82951.0,86162.0,84538.0,87070,78576,78101,77668,70798,61253,54719,51145,45165,43410
부산광역시,25105.0,23751.0,25796.0,26295.0,27241,24825,25165,25731,23906,20494,18531,16478,14785,14112
대구광역시,19558.0,18567.0,19566.0,19944.0,20623,18708,18668,18810,17761,15444,13993,12896,10935,10408
인천광역시,24302.0,23390.0,24648.0,25572.0,26925,24908,25087,24940,22961,19907,19012,17616,15253,14603
광주광역시,13306.0,12787.0,13506.0,13494.0,13917,12407,12306,12045,11236,9793,8913,8189,7147,7819
대전광역시,14139.0,13220.0,13694.0,14333.0,14739,13677,13389,13301,12097,10424,9105,8221,7303,7342
울산광역시,10958.0,10518.0,10983.0,11214.0,11798,10979,11213,11348,10520,9047,7894,7324,6375,5926
세종특별자치시,,,,,1143,1132,1672,2823,3219,3422,3595,3657,3344,3445
경기도,115067.0,109880.0,117742.0,118257.0,120951,109468,109299,111355,104099,92366,87536,82540,76810,74799
강원도,11858.0,11633.0,12058.0,11961.0,12046,10703,10420,10648,9810,8764,8159,8229,7736,7258
충청북도,13690.0,13398.0,14224.0,14315.0,14516,13222,12986,13156,12454,11022,10364,9051,8399,8030
충청남도,19118.0,18597.0,19785.0,20191.0,19713,18159,17688,18138,16934,15253,14140,13064,11733,10759
전라북도,15251.0,14659.0,15416.0,15662.0,15695,14191,13761,13771,12433,11096,9775,8703,7947,7296
전라남도,15631.0,15172.0,15914.0,15952.0,16436,14974,14361,14711,13591,11940,10881,10614,9445,8242
경상북도,22547.0,21327.0,22508.0,22960.0,23688,21513,21267,21798,19987,17336,15565,14148,12555,11755
경상남도,30503.0,29482.0,31105.0,31469.0,32098,28797,29023,28811,26483,23286,20815,18856,16327,15087
제주특별자치도,5337.0,5197.0,5409.0,5422.0,5775,5226,5427,5509,5385,4939,4688,4401,3828,3655
